Date,Close,Open,High,Low,volume
17-05-2022,1604.10,1545.00,1607.90,1545.00,1608711.00
18-05-2022,1572.50,1623.00,1623.00,1565.00,2984009.00
19-05-2022,1547.95,1550.00,1562.75,1540.35,1798843.00
20-05-2022,1610.10,1569.40,1613.45,1561.05,2175224.00
23-05-2022,1644.15,1629.00,1660.00,1605.60,4177811.00
24-05-2022,1626.30,1644.80,1653.70,1610.10,1970395.00
25-05-2022,1574.75,1633.00,1639.70,1571.10,1417130.00
26-05-2022,1564.55,1575.00,1588.90,1536.65,3578710.00
27-05-2022,1600.30,1575.20,1606.00,1574.00,1279218.00
30-05-2022,1660.85,1620.00,1663.70,1613.60,2119326.00
31-05-2022,1654.50,1660.50,1674.40,1645.00,3534742.00
01-06-2022,1648.00,1653.55,1661.00,1638.45,1425466.00
02-06-2022,1637.15,1632.00,1649.45,1623.70,1852251.00
03-06-2022,1652.05,1657.95,1673.70,1644.95,2928263.00
06-06-2022,1640.20,1652.15,1662.30,1634.10,1538005.00
07-06-2022,1589.45,1630.00,1638.40,1586.10,2157491.00
08-06-2022,1584.55,1595.00,1607.80,1570.10,2122442.00
09-06-2022,1595.10,1556.20,1600.00,1556.20,1361104.00
10-06-2022,1585.10,1570.00,1594.50,1569.05,1337799.00
13-06-2022,1532.05,1560.15,1565.95,1518.30,2460367.00
14-06-2022,1544.65,1532.05,1554.30,1525.20,1983405.00
15-06-2022,1560.35,1547.95,1567.00,1539.05,1461683.00
16-06-2022,1527.40,1568.40,1575.00,1516.75,2329325.00
17-06-2022,1489.95,1522.00,1529.95,1481.40,4548572.00
20-06-2022,1471.80,1490.00,1497.85,1456.35,1837431.00
21-06-2022,1500.30,1480.00,1515.20,1476.90,1458922.00
22-06-2022,1478.75,1490.00,1490.95,1468.00,1906619.00
23-06-2022,1494.30,1481.50,1511.75,1481.50,1828491.00
24-06-2022,1494.85,1501.75,1512.00,1489.00,1731440.00
27-06-2022,1535.80,1524.00,1544.70,1509.75,2389778.00
28-06-2022,1551.50,1530.00,1557.50,1524.10,2072405.00
29-06-2022,1547.90,1531.25,1554.00,1525.40,1480197.00
30-06-2022,1558.25,1549.05,1566.90,1542.10,3308971.00
01-07-2022,1572.15,1560.95,1576.00,1534.60,1294305.00
04-07-2022,1581.70,1572.10,1587.45,1550.20,1269969.00
05-07-2022,1564.90,1584.00,1597.25,1561.60,1445200.00
06-07-2022,1556.15,1565.55,1590.50,1551.80,2422594.00
07-07-2022,1611.10,1565.90,1614.15,1565.65,1697912.00
08-07-2022,1687.45,1621.00,1702.00,1618.00,6516138.00
11-07-2022,1663.00,1684.95,1688.85,1653.40,1316037.00
12-07-2022,1653.75,1655.00,1672.90,1649.05,781516.00
13-07-2022,1647.25,1664.00,1683.25,1644.40,1914814.00
14-07-2022,1646.15,1651.85,1667.35,1634.60,1170472.00
15-07-2022,1684.85,1653.90,1687.85,1649.20,1345141.00
18-07-2022,1727.65,1696.05,1734.60,1690.00,3200640.00
19-07-2022,1729.80,1719.95,1734.95,1714.00,1351783.00
20-07-2022,1739.95,1740.35,1746.85,1727.95,1509911.00
21-07-2022,1765.15,1726.90,1768.95,1715.10,2827327.00
22-07-2022,1767.75,1765.50,1779.55,1752.55,1495629.00
25-07-2022,1782.45,1765.00,1785.50,1760.05,1916615.00
26-07-2022,1751.25,1780.75,1780.75,1741.90,1585897.00
27-07-2022,1796.65,1754.00,1819.50,1750.00,5369460.00
28-07-2022,1801.25,1805.00,1816.00,1786.95,1831059.00
29-07-2022,1808.05,1814.95,1832.50,1794.00,1747781.00
01-08-2022,1814.70,1808.00,1817.85,1790.30,1341943.00
02-08-2022,1793.05,1809.00,1811.65,1775.70,1749346.00
03-08-2022,1789.80,1793.05,1804.00,1773.00,1264299.00
04-08-2022,1780.10,1793.80,1814.80,1775.00,1856927.00
05-08-2022,1787.45,1782.95,1807.00,1775.30,1430542.00
08-08-2022,1829.65,1796.40,1832.05,1790.25,2625195.00
10-08-2022,1855.15,1830.00,1867.00,1822.25,3422074.00
11-08-2022,1867.15,1870.05,1878.80,1855.20,1918049.00
12-08-2022,1846.45,1865.00,1869.00,1838.00,1041383.00
16-08-2022,1848.90,1860.00,1864.00,1842.00,1426893.00
17-08-2022,1855.70,1861.45,1867.35,1850.05,1748371.00
18-08-2022,1894.55,1857.00,1898.55,1850.00,2519639.00
19-08-2022,1936.05,1894.10,1942.00,1892.75,4134598.00
22-08-2022,1880.65,1937.10,1944.00,1875.00,3175874.00
23-08-2022,1877.05,1870.00,1911.95,1865.70,1811509.00
24-08-2022,1893.35,1876.00,1898.00,1851.60,1534933.00
25-08-2022,1877.90,1900.00,1918.00,1873.00,1121363.00
26-08-2022,1905.40,1890.20,1912.00,1887.20,1119310.00
29-08-2022,1881.50,1870.00,1890.00,1861.00,1183546.00
30-08-2022,1922.50,1893.90,1928.00,1889.15,1394462.00
01-09-2022,1912.95,1905.00,1930.50,1892.10,2014905.00
02-09-2022,1940.50,1900.50,1958.80,1900.25,3201140.00
05-09-2022,1968.35,1947.95,1972.75,1942.10,2474746.00
06-09-2022,1962.30,1973.80,1985.10,1951.30,1172733.00
07-09-2022,1958.10,1941.10,1961.35,1934.00,1238549.00
08-09-2022,1974.40,1967.90,1977.00,1947.55,1632797.00
09-09-2022,1949.75,1977.35,1987.40,1944.00,980869.00
12-09-2022,1961.90,1949.75,1967.00,1947.90,791708.00
13-09-2022,1991.35,1968.90,1995.00,1963.10,1761021.00
14-09-2022,1953.90,1964.65,1972.95,1949.40,2322752.00
15-09-2022,1957.50,1959.10,1984.70,1954.80,1566565.00
16-09-2022,1920.00,1947.00,1956.90,1915.00,3881617.00
19-09-2022,1910.70,1921.10,1931.95,1905.00,1755456.00
20-09-2022,1932.70,1931.00,1955.80,1925.00,1666658.00
21-09-2022,1895.65,1921.10,1946.30,1891.60,1618385.00
22-09-2022,1888.20,1882.00,1905.60,1873.00,1875115.00
23-09-2022,1856.85,1890.00,1895.45,1852.55,1948766.00
26-09-2022,1851.45,1849.00,1876.80,1818.00,1529101.00
27-09-2022,1841.20,1856.00,1864.00,1832.50,1443698.00
28-09-2022,1835.45,1829.70,1856.00,1825.60,1853503.00
29-09-2022,1815.50,1844.65,1857.40,1797.40,2377718.00
30-09-2022,1847.70,1823.95,1882.95,1816.05,2339518.00
03-10-2022,1819.30,1852.00,1852.00,1814.00,1850414.00
04-10-2022,1871.55,1835.30,1880.95,1835.30,1637532.00
06-10-2022,1912.95,1882.00,1919.00,1878.10,2771898.00
07-10-2022,1924.55,1905.00,1928.95,1903.05,1469264.00
10-10-2022,1909.65,1905.00,1917.00,1883.50,1656954.00
11-10-2022,1878.95,1923.80,1923.80,1871.25,1047963.00
12-10-2022,1911.25,1880.00,1916.00,1858.05,1907748.00
13-10-2022,1876.15,1901.00,1912.00,1868.25,1303645.00
14-10-2022,1911.60,1900.00,1936.75,1898.45,1819114.00
17-10-2022,1883.20,1902.90,1914.00,1878.40,2588147.00
18-10-2022,1918.10,1893.10,1931.20,1893.10,1401849.00
19-10-2022,1904.90,1920.00,1947.00,1901.65,1636141.00
20-10-2022,1904.15,1898.65,1917.80,1886.30,1374019.00
21-10-2022,1876.75,1913.70,1925.00,1867.10,2225676.00
24-10-2022,1909.75,1906.00,1919.90,1900.00,269400.00
25-10-2022,1949.10,1915.00,1954.65,1891.55,2136147.00
27-10-2022,1964.05,1952.10,1971.85,1949.90,2245395.00
28-10-2022,1975.05,1972.00,1986.00,1963.80,2013794.00
31-10-2022,2023.10,1986.00,2034.65,1978.20,3176507.00
01-11-2022,2024.45,2032.00,2056.00,1990.05,4464211.00
02-11-2022,2013.30,2036.50,2042.00,2000.00,1889651.00
03-11-2022,2008.70,2006.00,2022.50,1993.00,1052241.00
04-11-2022,2015.10,2010.00,2029.35,2004.75,2312753.00
07-11-2022,2017.65,2021.40,2032.00,1993.00,1395070.00
09-11-2022,2003.50,2025.05,2036.95,1996.25,1301233.00
10-11-2022,1977.65,1995.00,2001.85,1970.20,1261210.00
11-11-2022,2011.10,2003.60,2018.80,1991.95,1203125.00
14-11-2022,1999.80,2013.05,2021.90,1995.25,1175155.00
15-11-2022,1996.55,2003.00,2017.00,1978.10,1450841.00
16-11-2022,2003.60,1986.00,2009.85,1985.05,1195832.00
17-11-2022,2029.55,2002.00,2059.00,2001.10,3786182.00
18-11-2022,2024.45,2039.00,2050.95,2006.85,1248459.00
21-11-2022,2011.45,2019.00,2033.00,2007.00,714687.00
22-11-2022,2029.80,2021.55,2033.15,2019.60,1337869.00
23-11-2022,2025.00,2038.95,2044.00,2018.00,1046988.00
24-11-2022,2052.20,2030.50,2060.00,2028.40,1611889.00
25-11-2022,2062.75,2061.00,2095.80,2058.45,2652761.00
02-12-2022,2085.50,2096.10,2098.90,2069.15,1957264.00
05-12-2022,2085.60,2095.95,2096.80,2068.85,1767537.00
06-12-2022,2093.50,2081.00,2100.00,2067.00,1530731.00
07-12-2022,2124.00,2096.30,2144.00,2096.30,3438327.00
08-12-2022,2167.70,2120.00,2175.00,2120.00,3743754.00
09-12-2022,2154.05,2168.00,2194.35,2137.50,2573609.00
12-12-2022,2163.70,2148.90,2169.00,2134.55,1536090.00
13-12-2022,2172.90,2170.00,2175.70,2152.50,1233124.00
14-12-2022,2195.45,2176.95,2210.00,2175.05,1516631.00
15-12-2022,2177.55,2196.70,2209.00,2173.60,1323412.00
19-12-2022,2184.00,2171.00,2187.45,2155.05,1592779.00
20-12-2022,2163.25,2179.90,2179.90,2138.00,1747181.00
21-12-2022,2146.30,2153.10,2174.95,2142.85,1979681.00
23-12-2022,2062.75,2094.50,2104.15,2050.10,2026125.00
27-12-2022,2124.10,2101.55,2128.00,2085.00,1059351.00
28-12-2022,2121.10,2129.00,2136.00,2113.65,1153883.00
29-12-2022,2110.90,2109.65,2120.55,2094.15,1517150.00
02-01-2023,2089.45,2092.90,2097.60,2075.05,807344.00
03-01-2023,2088.95,2088.00,2096.80,2067.95,1260225.00
04-01-2023,2070.55,2090.95,2101.45,2058.00,1015547.00
05-01-2023,2087.35,2080.00,2099.20,2068.50,1881403.00
06-01-2023,2086.55,2090.20,2121.70,2071.85,1877917.00
10-01-2023,2106.65,2131.90,2131.90,2097.20,1425414.00
